Date,^GSPC,^NDX,^STOXX50E,^FTSE,^GDAXI,^N225,000001.SS,^NSEI,^HSI,^AXJO
2019-09-24,2966.60009765625,7710.0400390625,3532.050048828125,7291.39990234375,12307.150390625,22098.83984375,2985.340087890625,11588.2001953125,26281.0,6748.89990234375
2019-09-25,2984.8701171875,7803.5400390625,3513.030029296875,7290.0,12234.1796875,22020.150390625,2955.429931640625,11440.2001953125,25945.349609375,6710.2001953125
2019-09-26,2977.6201171875,7771.990234375,3532.179931640625,7351.10009765625,12288.5400390625,22048.240234375,2929.090087890625,11571.2001953125,26041.9296875,6677.60009765625
2019-09-27,2961.7900390625,7681.580078125,3545.8798828125,7426.2001953125,12380.9404296875,21878.900390625,2932.169921875,11512.400390625,25954.810546875,6716.10009765625
2019-09-30,2976.739990234375,7749.4501953125,3569.449951171875,7408.2001953125,12428.080078125,21755.83984375,2905.18994140625,11474.4501953125,26092.26953125,6688.2998046875
2019-10-01,2940.25,7684.14013671875,3518.25,7360.2998046875,12263.830078125,21885.240234375,,11359.900390625,,6742.7998046875
2019-10-02,2887.610107421875,7550.7900390625,3413.31005859375,7122.5,11925.25,21778.609375,,,26042.689453125,6639.89990234375
2019-10-03,2910.6298828125,7638.39013671875,3417.3701171875,7077.60009765625,,21341.740234375,,11314.0,26110.310546875,
2019-10-04,2952.010009765625,7754.10009765625,3446.7099609375,7155.39990234375,12012.8095703125,21410.19921875,,11174.75,25821.029296875,6517.10009765625
2019-10-07,2938.7900390625,7725.1298828125,3471.239990234375,7197.89990234375,12097.4296875,21375.25,,11126.400390625,,6563.60009765625
2019-10-08,2893.06005859375,7604.27001953125,3432.760009765625,7143.2001953125,11970.2001953125,21587.779296875,2913.570068359375,,25893.400390625,6593.39990234375
2019-10-09,2919.39990234375,7690.52978515625,3462.110107421875,7166.5,12094.259765625,21456.380859375,2924.860107421875,11313.2998046875,25682.810546875,6546.7001953125
2019-10-10,2938.1298828125,7740.35986328125,3493.9599609375,7186.39990234375,12164.2001953125,21551.98046875,2947.7099609375,11234.5498046875,25707.9296875,6547.10009765625
2019-10-11,2970.27001953125,7843.8798828125,3569.919921875,7247.10009765625,12511.650390625,21798.869140625,2973.659912109375,11305.0498046875,26308.439453125,6606.7998046875
2019-10-14,2966.14990234375,7842.330078125,3556.260009765625,7213.5,12486.5595703125,,3007.8798828125,11341.150390625,26521.849609375,6642.60009765625
2019-10-15,2995.679931640625,7942.85009765625,3598.64990234375,7211.60009765625,12629.7900390625,22207.2109375,2991.050048828125,11428.2998046875,26503.9296875,6652.0
2019-10-16,2989.68994140625,7920.2099609375,3599.25,7168.0,12670.1103515625,22472.919921875,2978.7099609375,11464.0,26664.279296875,6736.5
2019-10-17,2997.949951171875,7942.14013671875,3588.6201171875,7182.2998046875,12654.9501953125,22451.859375,2977.330078125,11586.349609375,26848.490234375,6684.7001953125
2019-10-18,2986.199951171875,7868.490234375,3579.409912109375,7150.60009765625,12633.599609375,22492.6796875,2938.139892578125,11661.849609375,26719.580078125,6649.7001953125
2019-10-21,3006.719970703125,7940.330078125,3600.080078125,7163.60009765625,12747.9599609375,22548.900390625,2939.6201171875,,26725.6796875,6652.5
2019-10-22,2995.989990234375,7874.6201171875,3604.820068359375,7212.5,12754.6904296875,,2954.3798828125,11588.349609375,26786.19921875,6672.2001953125
2019-10-23,3004.52001953125,7889.47021484375,3606.889892578125,7260.7001953125,12798.1904296875,22625.380859375,2941.6201171875,11604.099609375,26566.73046875,6673.10009765625
2019-10-24,3010.2900390625,7966.72021484375,3621.3701171875,7328.2998046875,12872.099609375,22750.599609375,2940.919921875,11582.599609375,26797.94921875,6693.60009765625
2019-10-25,3022.550048828125,8029.22021484375,3624.679931640625,7324.5,12894.509765625,22799.810546875,2954.929931640625,11583.900390625,26667.390625,6739.2001953125
2019-10-28,3039.419921875,8110.669921875,3625.68994140625,7331.2998046875,12941.7099609375,22867.26953125,2980.050048828125,,26891.259765625,6740.7001953125
2019-10-29,3036.889892578125,8047.509765625,3622.090087890625,7306.2998046875,12939.6201171875,22974.130859375,2954.179931640625,11786.849609375,26786.759765625,6745.39990234375
2019-10-30,3046.77001953125,8083.10986328125,3620.2900390625,7330.7998046875,12910.23046875,22843.119140625,2939.320068359375,11844.099609375,26667.7109375,6689.5
2019-10-31,3037.56005859375,8083.830078125,3604.409912109375,7248.39990234375,12866.7900390625,22927.0390625,2929.06005859375,11877.4501953125,26906.720703125,6663.39990234375
2019-11-01,3066.909912109375,8161.169921875,3623.739990234375,7302.39990234375,12961.0498046875,22850.76953125,2958.199951171875,11890.599609375,27100.759765625,6669.10009765625
2019-11-04,3078.27001953125,8210.66015625,3665.2099609375,7369.7001953125,13136.2802734375,,2975.489990234375,11941.2998046875,27547.30078125,6686.89990234375
2019-11-05,3074.6201171875,8210.1796875,3676.52001953125,7388.10009765625,13148.5,23251.990234375,2991.56005859375,11917.2001953125,27683.400390625,6697.10009765625
2019-11-06,3076.780029296875,8196.0302734375,3688.739990234375,7396.7001953125,13179.8896484375,23303.8203125,2978.60009765625,11966.0498046875,27688.640625,6660.2001953125
2019-11-07,3085.179931640625,8219.650390625,3706.679931640625,7406.39990234375,13289.4599609375,23330.3203125,2978.7099609375,12012.0498046875,27847.23046875,6726.60009765625
2019-11-08,3093.080078125,8255.8896484375,3699.64990234375,7359.39990234375,13228.5595703125,23391.869140625,2964.179931640625,11908.150390625,27651.140625,6724.10009765625
2019-11-11,3087.010009765625,8241.91015625,3696.820068359375,7328.5,13198.3701171875,23331.83984375,2909.969970703125,11913.4501953125,26926.55078125,6772.5
2019-11-12,3091.840087890625,8263.7900390625,3712.199951171875,7365.39990234375,13283.509765625,23520.009765625,2914.820068359375,,27065.279296875,6753.0
2019-11-13,3094.0400390625,8259.8095703125,3699.5,7351.2001953125,13230.0703125,23319.869140625,2905.239990234375,11840.4501953125,26571.4609375,6698.39990234375
2019-11-14,3096.6298828125,8257.830078125,3688.81005859375,7292.7998046875,13180.23046875,23141.55078125,2909.8701171875,11872.099609375,26323.689453125,6735.10009765625
2019-11-15,3120.4599609375,8315.51953125,3711.610107421875,7302.89990234375,13241.75,23303.3203125,2891.340087890625,11895.4501953125,26326.66015625,6793.7001953125
2019-11-18,3122.030029296875,8328.48046875,3704.919921875,7307.7001953125,13207.009765625,23416.759765625,2909.199951171875,11884.5,26681.08984375,6766.7998046875
2019-11-19,3120.179931640625,8338.740234375,3696.56005859375,7323.7998046875,13221.1201171875,23292.650390625,2933.989990234375,11940.099609375,27093.80078125,6814.2001953125
2019-11-20,3108.4599609375,8283.75,3683.8798828125,7262.5,13158.1396484375,23148.5703125,2911.050048828125,11999.099609375,26889.609375,6722.39990234375
2019-11-21,3103.5400390625,8265.6201171875,3679.659912109375,7238.60009765625,13137.7001953125,23038.580078125,2903.639892578125,11968.400390625,26466.880859375,6672.89990234375
